Time,X,Glucose,Lactate
0,0.46460177,1.00845666,3.98312236
4.98220641,0.4800885,1.10993658,4.15189873
7.8291815,0.34070797,1.04016913,4.42194093
18.5053381,0.37168142,0.93868922,5.67088608
29.8932384,0.97566372,0.66596195,6.58227848
42.7046263,0.75884956,0.602537,6.83544304
45.5516014,1.06858407,0.49471459,6.80168776
64.0569395,1.06858407,0.3551797,6.78481013
67.6156584,1.79646018,0.29809725,6.76793249
80.4270463,1.56415929,0.39323467,6.31223629
88.9679715,1.76548673,0.18393235,5.48523207
96.0854093,2.8340708,0.20930233,4.87763713
105.338078,2.53982301,0.28541226,4.86075949
116.014235,3.84070797,0.2410148,4.23628692
129.537367,3.5,0.17124736,3.6793249
142.348754,3.68584071,0.16490486,2.56540084
155.160142,3.42256637,0.14587738,2.092827
168.683274,3.57743363,0.13319239,2.70042194
175.800712,3.4380531,0.22832981,2.63291139
184.341637,3.54646018,0.19027484,2.6835443
189.323843,3.67035398,0.2346723,2.29535865
201.423488,3.88716814,0.20930233,2.70042194
203.558719,3.46902655,0.19661734,2.29535865
217.793594,3.29867257,0.21564482,2.29535865
