Time,X
0,4.4501992
0.93541203,4.43625498
1.9376392,4.98007968
2.00445434,4.82669323
2.93986637,5.13346614
3.00668151,5.2310757
3.94209354,5.53784861
3.94209354,5.07768924
4.94432071,5.18924303
5.01113586,5.55179283
5.94654788,5.49601594
6.01336303,5.80278884
6.94877506,6.01195219
7.0155902,6.23505976
7.95100223,6.44422311
7.95100223,6.36055777
8.88641425,7.01593625
8.9532294,6.96015936
9.95545657,7.0438247
9.95545657,7.37848606
10.9576837,7.89442231
10.9576837,7.72709163
11.8262806,8.38247012
11.9599109,7.86653386
12.9621381,8.04780876
13.0289532,8.60557769
13.9643653,8.187251
14.0311804,8.9123506
14.9665924,9.66533865
14.9665924,7.83864542
15.9688196,9.16334661
15.9688196,8.34063745
16.9710468,9.17729084
16.9710468,8.07569721
17.8396437,9.24701195
17.9732739,8.6752988
18.908686,9.13545817
18.9755011,8.25697211
19.844098,9.35856574
19.9777283,8.46613546
20.9799555,9.51195219
20.9799555,8.53585657
21.9153675,9.2749004
21.9821826,8.70318725
22.9844098,9.47011952
22.9844098,8.78685259
23.986637,9.47011952
23.986637,8.94023904
24.922049,8.64741036
24.9888641,9.34462151
25.9242762,8.84262948
25.9910913,9.33067729
26.9265033,9.51195219
26.9265033,8.94023904
27.9955457,9.26095618
28.0623608,9.8187251
28.9977728,10
28.9977728,9.42828685
29.9331849,9.48406375
30.0668151,9.93027888
30.935412,9.90239044
30.935412,9.72111554
32.0044543,9.8187251
32.0044543,8.99601594
32.9398664,9.90239044
33.0066815,8.95418327
34.0089087,9.65139442
34.0089087,9.28884462
35.0111359,9.26095618
35.077951,9.95816733
